uuid,molecule,fragments,linker,anchor_1,anchor_2,energy,idx,keep
0,Fc1cc(-c2ccc(-c3c(F)cncc3F)cc2F)cc(F)n1,Fc1cccc(F)n1.Fc1cncc(F)c1,Fc1ccccc1,3,15,48.11433435958933,0,True
13,O=C([O-])c1ccc(-c2cc(F)c(-c3ccc(C(=O)[O-])cc3F)c(F)c2)cc1,O=C([O-])c1cccc(F)c1.O=C([O-])c1ccccc1,Fc1cccc(F)c1,6,15,53.5951533335772,13,True
23,O=C([O-])c1c(F)cc(C=C(F)c2c(F)c(F)c(C(=O)[O-])c(F)c2F)cc1F,O=C([O-])c1c(F)c(F)cc(F)c1F.O=C([O-])c1c(F)cccc1F,C=CF,8,20,46.85129321068151,23,True
34,Cc1cc(-c2nnc(-c3c(C)cc(C(=O)[O-])cc3C)nn2)ccc1C(=O)[O-],Cc1cc(C)cc(C(=O)[O-])c1.Cc1ccccc1C(=O)[O-],c1nncnn1,10,14,60.86814025974554,34,True
0,Cc1cc(C(=O)[O-])cc(C)c1-c1nnc(-c2ccc(C(=O)[O-])c(C)c2C)nn1,Cc1cc(C)cc(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1C,c1nncnn1,8,21,72.46394563237368,0,True
8,O=C([O-])c1ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3Br)nn2)cc1,O=C([O-])c1cccc(Br)c1.O=C([O-])c1ccccc1,c1nncnn1,6,15,46.652946791495,8,True
19,Cc1cc(C(=O)[O-])ccc1-c1nnc(-c2ccc(C(=O)[O-])cc2C)nn1,Cc1cccc(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,c1nncnn1,9,19,55.67160228720443,19,True
30,Cc1cc(-c2nnc(-c3ccncc3C)nn2)c(C)cn1,Cc1ccc(C)nc1.Cc1cccnc1,c1nncnn1,3,14,50.81224797036311,30,True
0,O=C([O-])c1ccc(-c2ccc(-c3ccc(C(=O)[O-])c(F)c3F)cc2)c(F)c1F,O=C([O-])c1cccc(F)c1F.O=C([O-])c1cccc(F)c1F,c1ccccc1,6,17,55.53033844242229,0,True
10,Cc1cc(C(=O)[O-])ccc1-c1ccc(-c2c(C)c(C)c(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1C.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,4,22,89.07665384053755,10,True
19,Cc1cc(-c2ccc(-c3ccc(C(=O)[O-])cc3C)c(C)c2)c(C)cc1C(=O)[O-],Cc1ccc(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1ccccc1,9,13,70.25637796129743,19,True
28,Cc1cc(C(=O)[O-])ccc1-c1c(C)cc(-c2c(C)cc(C(=O)[O-])c(C)c2C)cc1C,Cc1cc(C)c(C)c(C(=O)[O-])c1.Cc1cccc(C(=O)[O-])c1,Cc1cccc(C)c1,11,21,81.64239758364175,28,True
0,O=C([O-])c1ccc(-c2nnc(-c3ccc(C(=O)[O-])cc3)nn2)cc1,O=C([O-])c1ccccc1.O=C([O-])c1ccccc1,c1nncnn1,6,15,42.17698017191583,0,True
14,O=C([O-])c1ccc(C=C(Cl)c2ccc(C(=O)[O-])cc2)cc1,O=C([O-])c1ccccc1.O=C([O-])c1ccccc1,C=CCl,6,15,42.234199747113685,14,True
28,O=C([O-])c1ccc(-c2nnc(-c3c(F)cc(C(=O)[O-])c(F)c3F)nn2)cc1,O=C([O-])c1cc(F)cc(F)c1F.O=C([O-])c1ccccc1,c1nncnn1,7,18,46.36638898192669,28,True
48,Cc1cc(-c2nnc(-c3ccnc(C)c3)nn2)ccn1,Cc1ccccn1.Cc1ccccn1,c1nncnn1,3,10,39.18086939900206,48,True
